% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
553	1	0	8	0	28	9422	0	1	1	0
554	1	0	9	0	28	9422	0	1	1	0
555	1	0	10	0	24	6882	0	1	1	0
556	1	0	11	0	26	7708	0	1	1	0
557	1	0	12	0	28	9422	0	1	1	0
558	1	0	13	0	28	9422	0	1	1	0
559	1	0	14	0	24	6882	0	1	1	0
574	1	0	2	0	28	9422	0	1	1	0
575	1	0	3	0	28	9422	0	1	1	0
576	1	0	4	0	28	9422	0	1	1	0
577	1	0	1	0	24	6882	0	1	1	0
578	1	0	5	0	24	6882	0	1	1	0
579	1	0	6	0	26	7708	0	1	1	0
580	1	0	7	0	24	6882	0	1	1	0
581	1	0	8	0	28	9422	0	1	1	0
582	1	0	9	0	28	9422	0	1	1	0
583	1	0	10	0	24	6882	0	1	1	0
584	1	0	11	0	26	7708	0	1	1	0
585	1	0	12	0	28	9422	0	1	1	0
586	1	0	13	0	28	9422	0	1	1	0
587	1	0	14	0	24	6882	0	1	1	0
602	1	0	2	0	28	9422	0	1	1	0
603	1	0	3	0	28	9422	0	1	1	0
604	1	0	4	0	28	9422	0	1	1	0
605	1	0	1	0	24	6882	0	1	1	0
606	1	0	5	0	24	6882	0	1	1	0
607	1	0	6	0	26	7708	0	1	1	0
608	1	0	7	0	24	6882	0	1	1	0
609	1	0	8	0	28	9422	0	1	1	0
610	1	0	9	0	28	9422	0	1	1	0
611	1	0	10	0	24	6882	0	1	1	0
612	1	0	11	0	26	7708	0	1	1	0
613	1	0	12	0	28	9422	0	1	1	0
614	1	0	13	0	28	9422	0	1	1	0
615	1	0	14	0	24	6882	0	1	1	0
630	1	0	2	0	28	9422	0	1	1	0
631	1	0	3	0	28	9422	0	1	1	0
632	1	0	4	0	28	9422	0	1	1	0
633	1	0	1	0	24	6882	0	1	1	0
634	1	0	5	0	24	6882	0	1	1	0
635	1	0	6	0	26	7708	0	1	1	0
636	1	0	7	0	24	6882	0	1	1	0
637	1	0	8	0	28	9422	0	1	1	0
638	1	0	9	0	28	9422	0	1	1	0
639	1	0	10	0	24	6882	0	1	1	0
640	1	0	11	0	26	7708	0	1	1	0
641	1	0	12	0	28	9422	0	1	1	0
642	1	0	13	0	28	9422	0	1	1	0
643	1	0	14	0	24	6882	0	1	1	0
658	1	0	2	0	28	9422	0	1	1	0
659	1	0	3	0	28	9422	0	1	1	0
660	1	0	4	0	28	9422	0	1	1	0
661	1	0	1	0	24	6882	0	1	1	0
662	1	0	5	0	24	6882	0	1	1	0
663	1	0	6	0	26	7708	0	1	1	0
664	1	0	7	0	24	6882	0	1	1	0
665	1	0	8	0	28	9422	0	1	1	0
666	1	0	9	0	28	9422	0	1	1	0
667	1	0	10	0	24	6882	0	1	1	0
668	1	0	11	0	26	7708	0	1	1	0
669	1	0	12	0	28	9422	0	1	1	0
670	1	0	13	0	28	9422	0	1	1	0
671	1	0	14	0	24	6882	0	1	1	0
686	1	0	2	0	28	9422	0	1	1	0
687	1	0	3	0	28	9422	0	1	1	0
688	1	0	4	0	28	9422	0	1	1	0
689	1	0	1	0	24	6882	0	1	1	0
690	1	0	5	0	24	6882	0	1	1	0
691	1	0	6	0	26	7708	0	1	1	0
692	1	0	7	0	24	6882	0	1	1	0
693	1	0	8	0	28	9422	0	1	1	0
694	1	0	9	0	28	9422	0	1	1	0
695	1	0	10	0	24	6882	0	1	1	0
696	1	0	11	0	26	7708	0	1	1	0
697	1	0	12	0	28	9422	0	1	1	0
698	1	0	13	0	28	9422	0	1	1	0
699	1	0	14	0	24	6882	0	1	1	0
714	1	0	2	0	28	9422	0	1	1	0
715	1	0	3	0	28	9422	0	1	1	0
716	1	0	4	0	28	9422	0	1	1	0
717	1	0	1	0	24	6882	0	1	1	0
718	1	0	5	0	24	6882	0	1	1	0
719	1	0	6	0	26	7708	0	1	1	0
720	1	0	7	0	24	6882	0	1	1	0
721	1	0	8	0	28	9422	0	1	1	0
722	1	0	9	0	28	9422	0	1	1	0
723	1	0	10	0	24	6882	0	1	1	0
724	1	0	11	0	26	7708	0	1	1	0
725	1	0	12	0	28	9422	0	1	1	0
726	1	0	13	0	28	9422	0	1	1	0
727	1	0	14	0	24	6882	0	1	1	0
742	1	0	2	0	28	9422	0	1	1	0
743	1	0	3	0	28	9422	0	1	1	0
744	1	0	4	0	28	9422	0	1	1	0
745	1	0	1	0	24	6882	0	1	1	0
746	1	0	5	0	24	6882	0	1	1	0
747	1	0	6	0	26	7708	0	1	1	0
748	1	0	7	0	24	6882	0	1	1	0
749	1	0	8	0	28	9422	0	1	1	0
750	1	0	9	0	28	9422	0	1	1	0
751	1	0	10	0	24	6882	0	1	1	0
752	1	0	11	0	26	7708	0	1	1	0
753	1	0	12	0	28	9422	0	1	1	0
754	1	0	13	0	28	9422	0	1	1	0
755	1	0	14	0	24	6882	0	1	1	0
770	1	0	2	0	28	9422	0	1	1	0
771	1	0	3	0	28	9422	0	1	1	0
772	1	0	4	0	28	9422	0	1	1	0
773	1	0	1	0	24	6882	0	1	1	0
774	1	0	5	0	24	6882	0	1	1	0
775	1	0	6	0	26	7708	0	1	1	0
776	1	0	7	0	24	6882	0	1	1	0
777	1	0	8	0	28	9422	0	1	1	0
778	1	0	9	0	28	9422	0	1	1	0
779	1	0	10	0	24	6882	0	1	1	0
780	1	0	11	0	26	7708	0	1	1	0
781	1	0	12	0	28	9422	0	1	1	0
782	1	0	13	0	28	9422	0	1	1	0
783	1	0	14	0	24	6882	0	1	1	0
798	1	0	2	0	28	9422	0	1	1	0
799	1	0	3	0	28	9422	0	1	1	0
