% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
1576	1	0	8	0	26	7708	0	1	0
1577	1	0	3	0	24	6882	0	1	0
1579	1	0	12	0	26	7708	0	1	0
1583	1	0	3	0	24	6882	0	1	0
1586	1	0	12	0	26	7708	0	1	0
1587	1	0	4	0	26	7708	0	1	0
1588	1	0	3	0	24	6882	0	1	0
1590	1	0	20	0	28	9422	0	1	0
1591	1	0	5	0	26	7708	0	1	0
1593	1	0	11	0	26	7708	0	1	0
1594	1	0	7	0	24	6882	0	1	0
1595	1	0	8	0	26	7708	0	1	0
1597	1	0	15	0	26	7708	0	1	0
1598	1	0	3	0	24	6882	0	1	0
1600	1	0	11	0	26	7708	0	1	0
1601	1	0	3	0	24	6882	0	1	0
1602	1	0	8	0	26	7708	0	1	0
1603	1	0	12	0	26	7708	0	1	0
1604	1	0	15	0	26	7708	0	1	0
1609	1	0	12	0	26	7708	0	1	0
1612	1	0	20	0	28	9422	0	1	0
1613	1	0	5	0	26	7708	0	1	0
1614	1	0	3	0	24	6882	0	1	0
1615	1	0	11	0	26	7708	0	1	0
1616	1	0	8	0	26	7708	0	1	0
1618	1	0	15	0	26	3822	0	1	0
1618	1	0	3	0	24	3422	0	1	0
1619	1	0	9	0	26	7708	0	1	0
1620	1	0	3	0	24	6882	0	1	0
1622	1	0	9	0	26	7708	0	1	0
1625	1	0	9	0	26	7708	0	1	0
1627	1	0	12	0	26	7708	0	1	0
1630	1	0	20	0	28	9422	0	1	0
1631	1	0	14	0	24	6882	0	1	0
1632	1	0	3	0	24	3422	0	1	0
1632	1	0	5	0	26	3822	0	1	0
1635	1	0	3	0	24	6882	0	1	0
1636	1	0	4	0	26	7708	0	1	0
1637	1	0	11	0	26	7708	0	1	0
1638	1	0	8	0	26	7708	0	1	0
1640	1	0	15	0	26	7708	0	1	0
1643	1	0	11	0	26	7708	0	1	0
1644	1	0	8	0	26	7708	0	1	0
1645	1	0	12	0	26	7708	0	1	0
1646	1	0	15	0	26	7708	0	1	0
1648	1	0	20	0	28	9422	0	1	0
1650	1	0	9	0	26	7708	0	1	0
1654	1	0	9	0	26	7708	0	1	0
1657	1	0	5	0	26	7708	0	1	0
1658	1	0	11	0	26	7708	0	1	0
1659	1	0	3	0	24	3422	0	1	0
1659	1	0	8	0	26	3822	0	1	0
1660	1	0	3	0	24	6882	0	1	0
1661	1	0	15	0	26	7708	0	1	0
1663	1	0	5	0	26	7708	0	1	0
1665	1	0	11	0	26	7708	0	1	0
1666	1	0	8	0	26	7708	0	1	0
1667	1	0	12	0	26	7708	0	1	0
1668	1	0	15	0	26	7708	0	1	0
1669	1	0	20	0	28	9422	0	1	0
1673	1	0	12	0	26	7708	0	1	0
1674	1	0	1	0	26	7708	0	1	0
1675	1	0	20	0	28	9422	0	1	0
1676	1	0	5	0	26	7708	0	1	0
1677	1	0	11	0	26	7708	0	1	0
1678	1	0	8	0	26	7708	0	1	0
1679	1	0	3	0	24	6882	0	1	0
1680	1	0	15	0	26	7708	0	1	0
1682	1	0	5	0	26	7708	0	1	0
1683	1	0	3	0	24	6882	0	1	0
1684	1	0	11	0	26	7708	0	1	0
1685	1	0	8	0	26	7708	0	1	0
1686	1	0	12	0	26	7708	0	1	0
1687	1	0	15	0	26	3822	0	1	0
1687	1	0	3	0	24	3422	0	1	0
1688	1	0	20	0	28	9422	0	1	0
1693	1	0	12	0	26	7708	0	1	0
1697	1	0	5	0	26	7708	0	1	0
1698	1	0	11	0	26	7708	0	1	0
1699	1	0	9	0	26	7708	0	1	0
1700	1	0	3	0	24	3422	0	1	0
1700	1	0	8	0	26	3822	0	1	0
1701	1	0	9	0	26	7708	0	1	0
1702	1	0	9	0	26	7708	0	1	0
1703	1	0	9	0	26	7708	0	1	0
1704	1	0	12	0	26	7708	0	1	0
1705	1	0	15	0	26	7708	0	1	0
1706	1	0	20	0	28	9422	0	1	0
1710	1	0	12	0	26	7708	0	1	0
1711	1	0	1	0	26	7708	0	1	0
1712	1	0	15	0	26	7708	0	1	0
1713	1	0	20	0	28	9422	0	1	0
1714	1	0	3	0	24	3422	0	1	0
1714	1	0	14	0	24	3422	0	1	0
1716	1	0	3	0	24	6882	0	1	0
1717	1	0	11	0	26	7708	0	1	0
1718	1	0	8	0	26	7708	0	1	0
1719	1	0	4	0	26	7708	0	1	0
1720	1	0	3	0	24	6882	0	1	0
1721	1	0	4	0	26	7708	0	1	0
1722	1	0	12	0	26	7708	0	1	0
1723	1	0	15	0	26	3822	0	1	0
1723	1	0	9	0	26	3822	0	1	0
1724	1	0	20	0	28	9422	0	1	0
